% Supplemental Table S1: P-V-T data on Fe–9Si from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a D03 alloy (Å)	± (Å)	a hcp alloy (Å)	± (Å)	c/a hcp alloy	±	a B2 alloy (Å)	± (Å)	a fcc alloy (Å)	± (Å)
fcc+B2	1270	108	19.2	0.5	3.521	0.002	-	-	-	-	-	-	2.788	0.001	3.595	0.005
fcc+B2	2496	142	52.0	1.1	3.266	0.002	-	-	-	-	-	-	2.683	0.003	3.421	0.002
fcc+hcp+B2	2409	131	46.7	1.0	3.296	0.002	-	-	2.418	0.001	1.624	0.001	2.726	0.003	3.423	0.002
fcc+hcp+B2	2776	129	73.3	1.4	3.169	0.003	-	-	2.372	0.002	1.626	0.001	2.658	0.001	3.354	*
fcc+hcp+B2	3093	132	73.5	1.6	3.170	0.004	-	-	2.382	0.008	1.620	0.005	2.670	0.002	3.358	*
fcc+hcp+B2	3378	149	100.2	2.0	3.081	0.004	-	-	2.325	0.004	1.631	0.002	2.616	0.002	3.304	0.001
fcc+hcp+B2	2276	188	47.8	1.0	3.288	0.002	-	-	2.415	0.002	1.633	0.001	2.717	0.006	3.414	0.002
fcc+hcp+B2	2146	143	47.8	0.9	3.287	0.002	-	-	2.411	*	1.614	*	2.712	0.002	3.419	*
fcc+hcp+B2	2060	143	47.8	0.9	3.286	0.002	-	-	2.411	*	1.624	*	2.728	0.000	3.415	0.002
fcc+hcp+B2	2293	122	51.2	1.0	3.268	0.002	-	-	2.405	0.000	1.632	0.000	2.691	0.008	3.422	*
fcc+hcp+B2	2695	209	65.8	1.3	3.199	0.003	-	-	2.375	*	1.648	*	2.668	0.005	3.363	*
fcc+hcp+B2	2789	162	66.3	1.2	3.198	0.002	-	-	2.374	*	1.646	*	2.672	0.010	3.369	0.002
fcc+hcp+B2	2630	131	65.9	1.2	3.199	0.003	-	-	2.373	0.001	1.634	0.001	2.665	0.002	3.362	0.003
% *Only one d-spacing was measured, so the uncertainty of the lattice parameter(s) cannot be determined.
